C:\Users\Mikail Achmad\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.6.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[INIT].... \u2192 Crawl4AI 0.9.3 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...page=9&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 3.01s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...page=9&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...page=9&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.14s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...page=9&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 3.27s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=10&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.81s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=10&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.09s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=10&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=10&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.97s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=11&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.60s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=11&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=11&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=11&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.76s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=12&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.64s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=12&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=12&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=12&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.81s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=13&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.65s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=13&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.09s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=13&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=13&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.80s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=14&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.66s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=14&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=14&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=14&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.83s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=15&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.94s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=15&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=15&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=15&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 3.11s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=16&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.57s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=16&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.13s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=16&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.17s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=16&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.88s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=17&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.66s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=17&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.11s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=17&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.06s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=17&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.85s 
[FETCH]... \u2193 https://search.kompas.com/search?q=pembangkit+li...age=18&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.68s 
[SCRAPE].. \u25c6 https://search.kompas.com/search?q=pembangkit+li...age=18&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.10s 
[EXTRACT]. \u25a0 https://search.kompas.com/search?q=pembangkit+li...age=18&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 0.05s 
[COMPLETE] \u25cf https://search.kompas.com/search?q=pembangkit+li...age=18&start_date=2026-01-01&end_date=2026-12-31  | \u2713 | \u23f1: 2.86s 
